"Ligand"	"MolecularRefractivity(Fast Descriptors)"	"MolecularFlexibility(Fast Descriptors)"	"MolecularArea(vdWarea)(Spatial Descriptors)"	"MolecularVolume(vdWvolume)(SpatialDescriptors)"	"MolecularDensity(SpatialDescriptors)"	"PrincipalMomentsOfInertia(magnitude)(SpatialDescriptors)"	"PrincipalMomentOfInertiaX(SpatialDescriptors)"	"PrincipalMomentOfInertiaY(SpatialDescriptors)"	"PrincipalMomentOfInertiaZ(SpatialDescriptors)"	"RadiusOfGyration(SpatialDescriptors)"	"EllipsoidalVolume(SpatialDescriptors)"	"DipoleMoment(magnitude)(Spatial Descriptors)"	"DipoleMomentX(SpatialDescriptors)"	"DipoleMomentY(SpatialDescriptors)"	"DipoleMomentZ(SpatialDescriptors)"	"SASA(JursDescriptors)"	"PPSA1(JursDescriptors)"	"PNSA1(JursDescriptors)"	"DPSA1(JursDescriptors)"	"PPSA2(JursDescriptors)"	"PNSA2(JursDescriptors)"	"DPSA2(JursDescriptors)"	"PPSA3(JursDescriptors)"	"PNSA3(JursDescriptors)"	"DPSA3 (Jurs Descriptors)"	"FPSA1(JursDescriptors)"	"FPSA2(JursDescriptors)"	"FPSA3(JursDescriptors)"	"FNSA1(JursDescriptors)"	"FNSA2(JursDescriptors)"	"FNSA3(JursDescriptors)"	"WPSA1(JursDescriptors)"	"WPSA2(JursDescriptors)"	"WPSA3(JursDescriptors)"	"WNSA1(JursDescriptors)"	"WNSA2(JursDescriptors)"	"WNSA3(JursDescriptors)"	"RPCG(JursDescriptors)"	"RNCG(JursDescriptors)"	"RPCS(JursDescriptors)"	"RNCS(JursDescriptors)"	"TPSA(JursDescriptors)"	"TASA(JursDescriptors)"	"RPSA(JursDescriptors)"	"RASA(JursDescriptors)"
"smallMol_487"	"105.954651"	"4.9484"	"399.96302746"	"327.4792026"	"1.13555911"	"15776.26"	"836.29146634"	"11022.63"	"11255.78"	"5.2949923"	"1786.572"	"1.59565963"	"-1.5504051"	"-0.36470879"	"0.09675311"	"640.148214"	"435.473764"	"204.674451"	"230.799313"	"832.359187"	"-391.212473"	"1223.572"	"25.814204"	"-20.28565"	"46.099853"	"0.68027"	"1.30026"	"0.040325"	"0.31973"	"-0.611128"	"-0.031689"	"278.767752"	"532.833247"	"16.524916"	"131.021984"	"-250.433966"	"-12.985822"	"0.183014"	"0.193019"	"1.193473"	0	"40.419225"	"599.72899"	"0.06314"	"0.93686"
"smallMol_488"	"111.739044"	"4.238013"	"448.84456925"	"393.20793833"	"1.10502344"	"8398.058"	"1653.306"	"5568.744"	"6064.903"	"4.14782952"	"1236.119"	"4.68826513"	"3.59970751"	"2.98022163"	"-0.37445265"	"615.082796"	"446.797849"	"168.284946"	"278.512903"	"1201.182"	"-452.421103"	"1653.603"	"26.918264"	"-39.743565"	"66.661829"	"0.726403"	"1.952879"	"0.043764"	"0.273597"	"-0.735545"	"-0.064615"	"274.81767"	"738.826487"	"16.556961"	"103.509175"	"-278.276437"	"-24.445583"	"0.078369"	"0.144965"	"2.356692"	"1.428988"	"175.697866"	"439.38493"	"0.285649"	"0.714351"
"smallMol_489"	"77.644501"	"2.37926"	"260.3211726"	"214.41837296"	"1.18119074"	"3740.36"	"522.91058102"	"2417.563"	"2805.752"	"3.85368598"	"800.86493946"	"1.4037796"	"-1.21022498"	"-0.71118457"	"0.01300629"	"469.480264"	"320.882773"	"148.597492"	"172.285281"	"722.263719"	"-334.472833"	"1056.737"	"39.683105"	"-28.752667"	"68.435772"	"0.683485"	"1.538433"	"0.084526"	"0.316515"	"-0.712432"	"-0.061244"	"150.648129"	"339.088561"	"18.630435"	"69.76359"	"-157.028394"	"-13.49881"	"0.09936"	"0.169628"	"1.079917"	"1.892134"	"71.453619"	"398.026646"	"0.152197"	"0.847803"
"smallMol_490"	"88.111092"	"3.434698"	"322.071128"	"276.73225149"	"1.24024934"	"5038.118"	"2000.32"	"2634.634"	"3800.007"	"3.68365844"	"620.15336068"	"3.10313092"	"-3.10296796"	"-0.01398173"	"0.02856282"	"534.493854"	"272.016818"	"262.477036"	"9.539783"	"359.664391"	"-347.05067"	"706.715061"	"15.830559"	"-22.893221"	"38.723781"	"0.508924"	"0.672907"	"0.029618"	"0.491076"	"-0.649307"	"-0.042832"	"145.391318"	"192.238407"	"8.461337"	"140.292362"	"-185.49645"	"-12.236286"	"0.120152"	"0.212492"	"0.609415"	"0.185904"	"7.2177"	"527.276154"	"0.013504"	"0.986496"
"smallMol_491"	"116.13089"	"6.918271"	"474.53783699"	"389.57025054"	"1.11784971"	"15342.29"	"1623.85"	"10554.5"	"11015.97"	"5.63605431"	"2308.722"	"5.41522423"	"-3.35376108"	"-4.13626575"	"0.98399479"	"736.222592"	"606.911127"	"129.311465"	"477.599662"	"2113.374"	"-450.285863"	"2563.66"	"40.866217"	"-33.847218"	"74.713436"	"0.824358"	"2.870564"	"0.055508"	"0.175642"	"-0.611616"	"-0.045974"	"446.821683"	"1555.914"	"30.086632"	"95.202022"	"-331.510626"	"-24.919087"	"0.10388"	"0.111442"	"0.551976"	"2.626927"	"129.998722"	"606.223871"	"0.176575"	"0.823425"
"smallMol_492"	"81.509399"	"4.68747"	"325.0542306"	"262.64886357"	"1.10536551"	"5102.279"	"872.87270325"	"3413.688"	"3690.268"	"4.1005795"	"1118.468"	"1.08480965"	"-0.88444257"	"-0.11336887"	"0.61783559"	"533.047926"	"428.316696"	"104.73123"	"323.585466"	"982.738039"	"-240.297356"	"1223.035"	"36.502686"	"-27.540188"	"64.042875"	"0.803524"	"1.84362"	"0.068479"	"0.196476"	"-0.450799"	"-0.051666"	"228.313327"	"523.846474"	"19.457681"	"55.826765"	"-128.090007"	"-14.68024"	"0.096498"	"0.167055"	"0.90897"	"2.009592"	"84.695111"	"448.352816"	"0.158888"	"0.841112"
"smallMol_493"	"108.957275"	"5.405481"	"403.77983564"	"334.45300836"	"1.10456472"	"11506.35"	"1119.402"	"7717.38"	"8460.792"	"5.09943571"	"2135.149"	"2.71122467"	"0.69151873"	"-2.2862851"	"-1.28274765"	"645.999869"	"514.038645"	"131.961224"	"382.077421"	"1426.596"	"-366.227675"	"1792.823"	"42.410283"	"-26.62001"	"69.030293"	"0.795726"	"2.208353"	"0.065651"	"0.204274"	"-0.566916"	"-0.041207"	"332.068898"	"921.580683"	"27.397037"	"85.246934"	"-236.58303"	"-17.196523"	"0.080002"	"0.138007"	"0.850193"	"0.935726"	"78.662912"	"567.336957"	"0.121769"	"0.878231"
"smallMol_494"	"95.021996"	"4.487042"	"364.47547776"	"302.83091857"	"0.97229832"	"4007.62"	"1136.514"	"2493.392"	"2924.44"	"3.74742626"	"710.00454246"	"0.57665201"	"-0.28312246"	"0.48736809"	"-0.12182596"	"545.68417"	"442.816814"	"102.867357"	"339.949457"	"564.85874"	"-131.217981"	"696.07672"	"20.461613"	"-5.084978"	"25.546591"	"0.811489"	"1.035139"	"0.037497"	"0.188511"	"-0.240465"	"-0.009319"	"241.638126"	"308.234473"	"11.165578"	"56.133088"	"-71.603575"	"-2.774792"	"0.05056"	"0.267111"	"0.78169"	0	"0.218718"	"545.465452"	"0.000401"	"0.999599"
"smallMol_495"	"80.144081"	"3.084765"	"318.97479501"	"267.81841988"	"1.06176041"	"5302.031"	"671.95554859"	"3519.237"	"3908.322"	"4.17726855"	"896.04102584"	"1.18776539"	"-0.41147237"	"1.07339349"	"-0.29883696"	"523.560199"	"422.206913"	"101.353286"	"320.853626"	"653.081305"	"-156.776071"	"809.857376"	"23.109408"	"-12.978248"	"36.087656"	"0.806415"	"1.247385"	"0.044139"	"0.193585"	"-0.299442"	"-0.024788"	"221.050735"	"341.927378"	"12.099166"	"53.064547"	"-82.081711"	"-6.794894"	"0.190759"	"0.232957"	"1.151835"	"1.88522"	"40.488682"	"483.071517"	"0.077333"	"0.922667"
"smallMol_496"	"89.161812"	"6.000806"	"421.54960246"	"345.52995185"	"1.08365133"	"8542.68"	"1189.675"	"5595.716"	"6344.291"	"4.91827612"	"1757.469"	"3.47523778"	"-0.43331425"	"-2.82273124"	"-1.98032946"	"632.111114"	"501.253338"	"130.857776"	"370.395562"	"1652.241"	"-431.336149"	"2083.577"	"31.799721"	"-36.952818"	"68.752539"	"0.792983"	"2.613846"	"0.050307"	"0.207017"	"-0.682374"	"-0.058459"	"316.847806"	"1044.4"	"20.100957"	"82.716655"	"-272.652374"	"-23.358287"	"0.084804"	"0.118218"	0	"1.443998"	"164.73855"	"467.372565"	"0.260616"	"0.739384"
